1.2
"[2, 2, 0]"
"[5, 5, 0]"
"[2, 2, 0]"
"[3, 3, 0]"
"[19, 19, 0]"
"[10, 10, 0]"
"[11, 11, 0]"
"[9, 9, 0]"
"[3, 3, 0]"
"[5, 5, 0]"
"[9, 9, 0]"
"[2, 2, 0]"
"[6, 6, 0]"
"[7, 7, 0]"
"[11, 11, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[3, 3, 0]"
"[6, 6, 0]"
"[9, 9, 0]"
"[3, 3, 0]"
"[3, 3, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[12, 12, 0]"
"[4, 4, 0]"
"[5, 5, 0]"
"[4, 4, 0]"
"[6, 6, 0]"
"[5, 5, 0]"
"[2, 2, 0]"
"[1, 1, 0]"
"[6, 6, 0]"
"[15, 15, 0]"
"[7, 7, 0]"
"[3, 3, 0]"
"[18, 18, 0]"
"[6, 6, 0]"
"[15, 15, 0]"
"[7, 7, 0]"
"[3, 3, 0]"
"[2, 2, 0]"
"[7, 7, 0]"
"[3, 3, 0]"
